Coat_colour,Gender_status,Age,WM2,InOut,TimeEx,Health,Agitated,AttenSeek,Bark,Excite,Fetch,HO_Fear,NoiseF,NO_Agg,O_Agg,SepAnx,Train,UnBeh,HS_StrngDirAgg,HS_OwnDirAgg,HS_StrngDirFear,HS_NonSocFear,HS_DogDirAggression,HS_DogDirFear,HS_SepRelBeh,HS_Attach,HS_Train,HS_Chase,HS_Excit,HS_Pain,HS_DogRiv,HS_EnLevel
1,2,2231,1,0,2,0,3,3.666666667,2,3.6,5,2.333333333,2.5,2.428571429,1.714285714,1.875,3.285714286,2.7,2.444444444,1.75,1.75,2.333333333,2.25,2.5,1.875,3.5,3,3.75,3.666666667,3.666666667,2.5,3.5
2,0,1523,1,0,2,0,2,4.666666667,1,3.4,5,1.066666667,1.5,1.428571429,1,1.875,2.5,2.2,1,1,1,1.166666667,2.25,1,1.875,3.833333333,2.857142857,2.5,3.5,1.333333333,2,3
1,2,2617,1,0,3,1,2,3.666666667,1,3,5,1.533333333,2,1.928571429,1,1.75,3.714285714,2,1.666666667,1,1.25,1.5,2.5,2,1.75,3,3.375,2.75,2.833333333,2.333333333,1,2.5
0,2,2288,0,0,4,0,1,1.333333333,1,2.6,5,1.4,1,1.428571429,1,1,4.142857143,1.684210526,1.444444444,1,1,1.333333333,1.25,2,1,1.333333333,3.5,2.666666667,2.666666667,1,1,2.5
1,0,1876,0,0,3,0,1,4,1,1.8,5,1.4,1,1.923076923,1,1,4.571428571,1.75,2.333333333,1,1,1,1.666666667,2.5,1,3,3.625,2.5,2,1,1,3.5
0,0,1312,0,0,2,0,1,3,1,1,5,1,1,1,1,1,5,1.263157895,1,1,1,1,1,1,1,2,3.5,1,1,1,1,3
0,0,2090,0,0,2,0,1,3,1,1,5,1,1,1,1,1,5,1.052631579,1,1,1,1,1,1,1,2,3.5,1,1,1,1,1
0,2,2219,0,0,3,0,1,3,1,2.6,5,1.133333333,1,1.642857143,1,1,4.857142857,1.4,1.555555556,1,1.25,1,2,1.25,1,2.333333333,3.625,1,2.666666667,1,1.5,3
0,0,2657,0,0,3,1,2,2.333333333,1,2,5,1.2,1.5,1.142857143,1,1,3.857142857,1.25,1,1,1,1.5,1,1.5,1,2.166666667,3.75,2.25,2.166666667,1.333333333,1,1
0,2,1780,0,0,2,0,2,2,3,3.2,5,1.933333333,1.5,2.214285714,1,1,5,1.95,1.888888889,1,2.25,1.333333333,2.75,2.75,1,1.833333333,3.5,3.5,3.333333333,1.666666667,1,3.5
0,0,2294,0,0,4,0,1,3,1,1.2,5,1.133333333,1,1.285714286,1,1,4.714285714,1.3,1,NA,1,1,1.75,1.5,1,2,3.5,2.5,1.333333333,NA,NA,1
1,2,2686,0,1,1,0,1,3.333333333,1,2.4,5,1.333333333,2,1,1,1,4.428571429,1.631578947,1,1,1,1.833333333,1,1.25,1,2.5,3.75,1,2.166666667,1.333333333,1,3
0,0,1772,0,0,3,0,3,4,1,2.2,5,1.133333333,1,1,1,1,4.428571429,1.35,1,1,1,1.5,1,1.25,1,3.666666667,3.5,1.75,2.166666667,1,1,3
2,3,1518,1,0,2,0,1.5,4,1,2.2,5,1.533333333,1.5,1.357142857,1,1,3.571428571,2.45,1.111111111,1,1,1.166666667,2,2.75,1,3.333333333,3,3.5,2.166666667,NA,1.5,4
0,1,1446,0,0,1,0,3.5,3.666666667,4,3.8,5,2.4,2.5,2.454545455,1.285714286,1.285714286,3,2.105263158,2.142857143,1.25,3,2.166666667,2.75,2.5,1.285714286,3.5,3.25,NA,3.666666667,3.333333333,1.75,3.5
0,3,2457,0,0,2,0,1,2.333333333,2,4,5,1.266666667,3.5,2.214285714,1,1.25,4,2.6,1.888888889,1,1,2.5,3.25,1,1.25,2,3.625,3.25,4,NA,2.75,4
0,2,2684,0,1,2,0,2.5,5,1,2.8,5,1.733333333,1.5,1.833333333,1,1.25,4.285714286,1.736842105,1.875,NA,2.25,1.4,1.5,1.75,1.25,4,3.625,NA,2.5,NA,1,3.5
0,2,2569,1,0,2,0,1,3.333333333,2,1.8,3,1.4,1.5,1.714285714,1,NA,3.857142857,2,1.333333333,1,1,1.5,2,1.5,NA,2.333333333,3,4.5,1.833333333,2,1.25,2
1,1,2079,1,0,3,1,1.5,3,2,2.4,2,1.466666667,2,1.785714286,1,2,4.714285714,1.6,1.555555556,1,1.25,1.833333333,2.5,2,2,2.666666667,3.125,2,2.333333333,1,1.25,3
2,3,2692,1,0,3,0,2.5,3.333333333,2,3,5,1.933333333,3,2.357142857,1,1,4.428571429,2.1,2.111111111,1.125,1.5,2.833333333,3,2.25,1,3,3.75,3.75,3,1.666666667,NA,3
0,2,1309,2,0,2,0,2.5,2.666666667,2,3.8,4,1.533333333,1,1.285714286,1,1,4,1.9,1.222222222,1,1.25,1,1.25,2,1,2.666666667,3.25,3.25,3.833333333,2,1.25,3
0,2,1790,1,0,2,0,2,3.666666667,1,3.4,3,1.8,1.5,1.461538462,1,1,3.857142857,1.368421053,1.333333333,1,1,1.666666667,2,1.75,1,3,3.25,1,3.166666667,NA,1.25,2.5
1,2,1508,0,1,2,0,1,2.666666667,2,2,5,1.066666667,1,1.071428571,1,1,5,2.15,1.222222222,1,1,1,1,1,1,1.833333333,3.5,3.25,2,NA,1.25,4
1,2,2285,NA,NA,3,0,2,2,2,2,5,1.4,1,1.692307692,1,1.25,4.285714286,2.25,1.5,1,1.5,1,2.25,2,1.25,2,3.375,2.5,2,1,1,2.5
0,2,1719,NA,0,2,0,1.5,3,1,3.8,5,1.133333333,1,1,1,1,4.714285714,1.9,1,1,1,1.2,1,1,1,2.4,3.5,3.25,3.333333333,NA,1,3
0,2,1765,NA,0,2,0,1,2,1,2.2,5,1.066666667,1,1.142857143,1,1,4.428571429,2,1.111111111,1,1,1,1,1.25,1,1.666666667,3.25,2.5,2.166666667,1,1,3
0,3,1738,1,0,1,1,1,3.333333333,1,3,NA,1.6,1,1.142857143,1,1,3.714285714,2.3,1,1,3.25,1,1,1,1,2.666666667,3.428571429,3.5,2.666666667,1,1,2.5
0,1,1410,0,0,2,0,2.5,2.333333333,1,1.4,5,1.266666667,2,1.142857143,1,1,5,2,1.444444444,1,1,1.666666667,1,1,1,2.166666667,3.5,4,1.333333333,1.666666667,2.25,4
0,3,2451,0,0,2,0,1,1.5,1,1.6,5,1.2,1,1.285714286,1,1,4.857142857,1.45,1.444444444,1,1,1.166666667,1,1.25,1,1.2,3.625,1,1.5,1.333333333,1,2
1,2,2582,1,0,4,0,3.5,5,2,4.4,4,1.266666667,1.5,1.071428571,1,1,3.833333333,2.4,1.111111111,1,1.25,1.333333333,1,1.25,1,4.5,3.857142857,2.5,4.166666667,1.333333333,1,5
0,2,1862,0,0,1,0,1,1.666666667,1,1.4,5,1.4,2,1.071428571,1,1,4.333333333,1.7,1.111111111,1,2.25,1.333333333,1,1.25,1,1.666666667,3.857142857,2.5,1.333333333,1,1,3
0,2,1953,2,0,2,0,1,1.666666667,1,3,3,1,1,1.357142857,1,1,4.142857143,1.7,1.444444444,1,1,1,1,1,1,1.833333333,3,3.25,3,1,1,2
0,NA,2282,0,0,4,0,1.5,3.333333333,1,3.8,5,1.266666667,1,1.571428571,1,1.375,4.428571429,1.2,1.666666667,1,1.25,1.5,1.25,1,1.375,2.666666667,4,1.25,3.8,1,1.75,2
0,0,1451,0,0,2,0,5,5,2,5,5,1.933333333,3,3.071428571,1.714285714,2.375,4,1.9,3.111111111,1.625,2,2.333333333,3,2,2.375,5,3.625,1.5,5,2.333333333,1.5,4
1,2,1908,1,1,2,0,1,2.333333333,1,1,5,1,1,1,1,1,4.142857143,1.315789474,1,1,1,1,1,1,1,1.666666667,3.5,1,1,1,1,3
